document,text,font_size,page,x0,y0,x1,y1,label
file01.pdf,Application form for grant of LTC advance,11.67,1,199.86,106.08,437.19,119.1,Title
file01.pdf,1.,9.74,1,70.02,135.94,82.12,147.69,Other
file01.pdf,Name of the Government Servant,9.74,1,96.0,132.99,243.44,144.74,Title
file01.pdf,2.,9.74,1,70.02,154.05,82.12,165.8,Other
file01.pdf,Designation,9.74,1,96.0,151.05,149.33,162.8,Title
file01.pdf,3.,9.74,1,70.02,180.93,82.12,192.68,Other
file01.pdf,Date of entering the Central Government,9.74,1,96.0,169.16,296.02,180.92,Title
file01.pdf,Service,9.74,1,96.0,186.74,129.73,198.49,Title
file01.pdf,4.,9.74,1,70.02,207.8,82.12,219.55,Other
file01.pdf,PAY + SI + NPA,9.74,1,96.0,204.86,168.89,216.61,Title
file01.pdf,5.,9.74,1,70.02,225.92,82.12,237.67,Other
file01.pdf,Whether permanent or temporary,9.74,1,96.0,222.91,244.1,234.67,Title
file01.pdf,6.,9.74,1,70.02,241.1,82.12,252.85,Other
file01.pdf,Home Town as recorded in the Service Book,9.74,1,96.0,241.1,289.53,252.85,Title
file01.pdf,7.,9.74,1,70.02,265.04,82.12,276.79,Other
file01.pdf,Whether wife / husband is employed and if,9.74,1,96.0,253.28,295.95,265.03,Title
file01.pdf,so whether entitled to LTC,9.74,1,96.0,270.86,212.83,282.61,Other
file01.pdf,8.,9.74,1,70.02,309.56,82.12,321.31,Other
file01.pdf,Whether the concession is to be availed for,9.74,1,96.0,288.98,295.95,300.73,Title
file01.pdf,visiting home town and if so block for which,9.74,1,96.0,306.56,296.05,318.31,Title
file01.pdf,LTC is to be availed.,9.74,1,96.0,324.2,186.05,335.95,Title
file01.pdf,9.,9.74,1,70.02,362.83,82.12,374.59,Other
file01.pdf,(a) If the concession is to visit anywhere in,9.74,1,96.0,342.25,296.01,354.01,
file01.pdf,"India, the place to be visited.",9.74,1,96.0,359.89,224.38,371.64,
file01.pdf,(b) Block for which to be availed.,9.74,1,96.0,377.47,241.29,389.22,
file01.pdf,10.,9.74,1,70.02,416.17,88.3,427.93,
file01.pdf,Single,9.74,1,96.0,395.59,124.84,407.35,
file01.pdf,rail,9.74,1,136.14,395.59,152.31,407.35,
file01.pdf,fare/bus,9.74,1,163.6,395.59,202.41,407.35,
file01.pdf,fare,9.74,1,213.71,395.59,233.51,407.35,
file01.pdf,from,9.74,1,244.84,395.59,267.94,407.35,
file01.pdf,the,9.74,1,279.24,395.59,296.08,407.35,
file01.pdf,headquarters to home town/place of visit by,9.74,1,96.0,413.17,296.01,424.93,
file01.pdf,shortest route.,9.74,1,96.0,430.75,161.99,442.5,
file01.pdf,11.,9.74,1,70.02,498.61,88.3,510.36,
file01.pdf,Persons in respect of whom LTC is proposed to be availed.,9.74,1,96.0,448.94,350.76,460.69,
file01.pdf,S.No,9.74,1,96.0,464.06,121.63,475.81,
file01.pdf,Name,9.74,1,211.41,464.06,242.72,475.81,
file01.pdf,Age,9.74,1,343.48,464.06,364.94,475.81,
file01.pdf,Relationship,9.74,1,444.58,464.06,508.57,475.81,
file01.pdf,1.,9.74,1,103.63,476.24,115.73,487.99,
file01.pdf,2.,9.74,1,103.63,488.48,115.73,500.23,
file01.pdf,3.,9.74,1,103.63,500.66,115.73,512.41,
file01.pdf,4.,9.74,1,103.63,512.96,115.73,524.71,
file01.pdf,5.,9.74,1,103.63,529.45,115.73,541.2,
file01.pdf,6.,9.74,1,103.63,541.69,115.73,553.44,
file01.pdf,12. Amount of advance required.,9.74,1,70.03,561.13,223.99,578.76,
file01.pdf,Rs.,9.74,1,304.39,561.13,320.77,572.88,
file01.pdf,I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,9.74,1,105.07,596.84,573.17,608.59,
file01.pdf,undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.74,1,70.03,608.54,499.66,620.29,
file01.pdf,In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.74,1,105.08,632.06,573.17,643.81,
file01.pdf,"advance, I undertake to refund the entire advance in one lump sum.",9.74,1,70.04,643.82,367.66,655.57,
file01.pdf,Date,9.74,1,70.04,678.98,95.88,690.73,
